87.945671% e = 10, h_n = 7, thres = 0.100000, l_r = 0.050000
93.293718% e = 10, h_n = 7, thres = 0.100000, l_r = 0.100000
92.869270% e = 10, h_n = 7, thres = 0.100000, l_r = 0.150000
90.662139% e = 10, h_n = 7, thres = 0.100000, l_r = 0.200000
77.758913% e = 10, h_n = 7, thres = 0.100000, l_r = 0.250000
71.052632% e = 10, h_n = 7, thres = 0.100000, l_r = 0.300000
88.624788% e = 10, h_n = 7, thres = 0.500000, l_r = 0.050000
91.426146% e = 10, h_n = 7, thres = 0.500000, l_r = 0.100000
90.747029% e = 10, h_n = 7, thres = 0.500000, l_r = 0.150000
91.935484% e = 10, h_n = 7, thres = 0.500000, l_r = 0.200000
88.200340% e = 10, h_n = 7, thres = 0.500000, l_r = 0.250000
91.256367% e = 10, h_n = 7, thres = 0.500000, l_r = 0.300000
10.526316% e = 10, h_n = 7, thres = 0.900000, l_r = 0.050000
14.770798% e = 10, h_n = 7, thres = 0.900000, l_r = 0.100000
15.195246% e = 10, h_n = 7, thres = 0.900000, l_r = 0.150000
13.667233% e = 10, h_n = 7, thres = 0.900000, l_r = 0.200000
13.667233% e = 10, h_n = 7, thres = 0.900000, l_r = 0.250000
15.025467% e = 10, h_n = 7, thres = 0.900000, l_r = 0.300000
90.492360% e = 10, h_n = 15, thres = 0.100000, l_r = 0.050000
90.747029% e = 10, h_n = 15, thres = 0.100000, l_r = 0.100000
86.587436% e = 10, h_n = 15, thres = 0.100000, l_r = 0.150000
91.595925% e = 10, h_n = 15, thres = 0.100000, l_r = 0.200000
90.747029% e = 10, h_n = 15, thres = 0.100000, l_r = 0.250000
91.765705% e = 10, h_n = 15, thres = 0.100000, l_r = 0.300000
44.397284% e = 10, h_n = 15, thres = 0.500000, l_r = 0.050000
89.983022% e = 10, h_n = 15, thres = 0.500000, l_r = 0.100000
89.558574% e = 10, h_n = 15, thres = 0.500000, l_r = 0.150000
89.643463% e = 10, h_n = 15, thres = 0.500000, l_r = 0.200000
88.624788% e = 10, h_n = 15, thres = 0.500000, l_r = 0.250000
90.492360% e = 10, h_n = 15, thres = 0.500000, l_r = 0.300000
15.025467% e = 10, h_n = 15, thres = 0.900000, l_r = 0.050000
13.157895% e = 10, h_n = 15, thres = 0.900000, l_r = 0.100000
14.261460% e = 10, h_n = 15, thres = 0.900000, l_r = 0.150000
12.988115% e = 10, h_n = 15, thres = 0.900000, l_r = 0.200000
